title,rating,comments_count,director,writer,actors,genres,country_region,release_year,link
甜蜜蜜,8.9,671474,陈可辛,岸西,黎明/张曼玉/杨恭如/曾志伟/杜可风,剧情/爱情,,2015,https://movie.douban.com/subject/1305164/
寄生虫 기생충,8.8,1545576,奉俊昊,奉俊昊/韩进元,宋康昊/李善均/赵汝贞/崔宇植/朴素丹,剧情,,2019,https://movie.douban.com/subject/27010768/
天书奇谭,9.2,334040,王树忱,包蕾/王树忱,丁建华/毕克/苏秀/程晓桦/施融,动画/奇幻,,1983,https://movie.douban.com/subject/1428581/
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,8.9,813047,克里斯托弗·诺兰,大卫·S·高耶/乔纳森·诺兰/克里斯托弗·诺兰,克里斯蒂安·贝尔/汤姆·哈迪/安妮·海瑟薇/约瑟夫·高登-莱维特/玛丽昂·歌迪亚,剧情/动作/科幻/惊悚/犯罪,,2012,https://movie.douban.com/subject/3395373/
7号房的礼物 7번방의 선물,8.9,621248,李焕京,李焕京/刘英雅,柳承龙/朴信惠/郑镇荣/金正泰/吴达洙,剧情/喜剧/家庭,,2013,https://movie.douban.com/subject/10777687/
超能陆战队 Big Hero 6,8.8,1143359,唐·霍尔,乔丹·罗伯茨/丹尼尔·吉尔森/罗伯特·L·贝尔德,斯科特·安第斯/瑞恩·波特/丹尼尔·海尼/T·J·米勒/郑智麟,喜剧/动作/科幻/动画/冒险,,2015,https://movie.douban.com/subject/11026735/
第六感 The Sixth Sense,8.9,636294,M·奈特·沙马兰,M·奈特·沙马兰,布鲁斯·威利斯/海利·乔·奥斯蒙/托妮·科莱特/奥莉维亚·威廉姆斯/唐尼·沃尔伯格,剧情/悬疑/惊悚,,1999,https://movie.douban.com/subject/1297630/
茶馆,9.5,207921,谢添,老舍,于是之/郑榕/蓝天野/英若诚/黄宗洛,剧情/历史,,1982,https://movie.douban.com/subject/1461403/
爱在黎明破晓前 Before Sunrise,8.8,799047,理查德·林克莱特,理查德·林克莱特/金·克里桑,伊桑·霍克/朱莉·德尔佩/安德莉亚·埃克特/汉诺·波西尔/卡尔·布拉克施魏格尔,剧情/爱情,,1995,https://movie.douban.com/subject/1296339/
爱在日落黄昏时 Before Sunset,8.9,652410,理查德·林克莱特,理查德·林克莱特/朱莉·德尔佩/伊桑·霍克/金·克里桑,伊桑·霍克/朱莉·德尔佩/弗农·多布切夫/路易丝·勒莫瓦纳·托雷斯/罗多尔·保利,剧情/爱情,,2004,https://movie.douban.com/subject/1291990/
被嫌弃的松子的一生 嫌われ松子の一生,8.8,774408,中岛哲也,中岛哲也/山田宗树,中谷美纪/永山瑛太/香川照之/市川实日子/伊势谷友介,剧情/歌舞,,2006,https://movie.douban.com/subject/1787291/
