title,rating,comments_count,director,writer,actors,genres,country_region,release_year,link
达拉斯买家俱乐部 Dallas Buyers Club,8.8,506033,让-马克·瓦雷,克莱格·鲍登/梅丽莎·沃雷克,马修·麦康纳/詹妮弗·加纳/杰瑞德·莱托/史蒂夫·扎恩/达拉斯·罗伯特斯,剧情/同性/传记,,2013,https://movie.douban.com/subject/1793929/
疯狂原始人 The Croods,8.7,921418,柯克·德·米科,克里斯·桑德斯/柯克·德·米科/约翰·克里斯,尼古拉斯·凯奇/艾玛·斯通/瑞安·雷诺兹/凯瑟琳·基纳/克萝丽丝·利奇曼,喜剧/动画/冒险,,2013,https://movie.douban.com/subject/1907966/
绿里奇迹 The Green Mile,8.9,388387,弗兰克·德拉邦特,弗兰克·德拉邦特,汤姆·汉克斯/大卫·摩斯/迈克·克拉克·邓肯/邦妮·亨特/詹姆斯·克伦威尔,剧情/悬疑/犯罪/奇幻,,1999,https://movie.douban.com/subject/1300374/
爱在午夜降临前 Before Midnight,8.9,473566,理查德·林克莱特,理查德·林克莱特/朱莉·德尔佩/伊桑·霍克/金·克里桑,伊桑·霍克/朱莉·德尔佩/肖姆斯·戴维-菲茨帕特里克/詹妮弗·普里尔/夏洛特·普里尔,剧情/爱情,,2013,https://movie.douban.com/subject/10808442/
疯狂的石头,8.6,926242,宁浩,张承/宁浩/岳小军,郭涛/刘桦/连晋/黄渤/徐峥,喜剧/犯罪,,2006,https://movie.douban.com/subject/1862151/
雨中曲 Singin' in the Rain,9.1,268853,斯坦利·多南,贝蒂·康登/阿多夫·格林,吉恩·凯利/唐纳德·奥康纳/黛比·雷诺斯/简·哈根/米勒德·米切尔,喜剧/爱情/歌舞,,1952,https://movie.douban.com/subject/1293460/
2001太空漫游 2001: A Space Odyssey,8.9,396552,斯坦利·库布里克,亚瑟·克拉克/斯坦利·库布里克,凯尔·杜拉/加里·洛克伍德/威廉姆·西尔维斯特/丹尼尔·里希特/雷纳德·洛塞特,科幻/惊悚/冒险,,1968,https://movie.douban.com/subject/1292226/
海街日记 海街diary,8.8,521217,是枝裕和,是枝裕和/吉田秋生,绫濑遥/长泽雅美/夏帆/广濑铃/大竹忍,剧情/家庭,,2015,https://movie.douban.com/subject/25895901/
风之谷 風の谷のナウシカ,8.9,393718,宫崎骏,宫崎骏,岛本须美/松田洋治/榊原良子/辻村真人/京田尚子,动画/奇幻/冒险,,1992,https://movie.douban.com/subject/1291585/
上帝之城 Cidade de Deus,9.0,333517,费尔南多·梅里尔斯,保罗·林斯/布罗里欧·曼托伐尼,亚历桑德雷·罗德里格斯/莱安德鲁·菲尔米诺/菲利佩·哈根森/道格拉斯·席尔瓦/乔纳森·哈根森,剧情/犯罪,,2002,https://movie.douban.com/subject/1292208/
心迷宫,8.7,617746,忻钰坤,忻钰坤/冯元良/鲁妮凡,霍卫民/王笑天/罗芸/杨瑜珍/孙黎,剧情/悬疑/犯罪,,2015,https://movie.douban.com/subject/25917973/
英雄本色,8.6,606372,吴宇森,陈庆嘉/吴宇森/梁淑华,周润发/狄龙/张国荣/朱宝意/李子雄,剧情/动作/犯罪,,2017,https://movie.douban.com/subject/1297574/
记忆碎片 Memento,8.7,669098,克里斯托弗·诺兰,克里斯托弗·诺兰/乔纳森·诺兰,盖·皮尔斯/凯瑞-安·莫斯/乔·潘托里亚诺/小马克·布恩/拉什·费加,剧情/悬疑/惊悚/犯罪,,2000,https://movie.douban.com/subject/1304447/
纵横四海 縱橫四海,8.8,473823,吴宇森,吴宇森/高志森/秦小珍,周润发/张国荣/钟楚红/朱江/曾江,剧情/喜剧/动作/犯罪,,1991,https://movie.douban.com/subject/1295409/
无敌破坏王 Wreck-It Ralph,8.7,612324,瑞奇·摩尔,菲尔·约翰斯顿/珍妮弗·李/瑞奇·摩尔/吉姆·里尔顿/约翰·C·赖利/山姆·J·莱文/贾里德·斯特恩,约翰·C·赖利/萨拉·西尔弗曼/杰克·麦克布瑞尔/简·林奇/艾伦·图代克,喜剧/动画/奇幻/冒险,,2012,https://movie.douban.com/subject/6534248/
卢旺达饭店 Hotel Rwanda,8.9,367326,特瑞·乔治,凯尔·皮尔森/特瑞·乔治,唐·钱德尔/苏菲·奥康内多/华金·菲尼克斯/尼克·诺特/哈基姆·凯-卡西姆,剧情/传记/历史/战争,,2004,https://movie.douban.com/subject/1291822/
东京教父 東京ゴッドファーザーズ,9.0,291370,今敏,今敏/信本敬子,江守彻/梅垣义明/冈本绫/饭塚昭三/加藤精三,剧情/喜剧/动画,,2003,https://movie.douban.com/subject/1310177/
小偷家族 万引き家族,8.7,895528,是枝裕和,是枝裕和,中川雅也/安藤樱/松冈茉优/城桧吏/佐佐木美结,剧情/家庭/犯罪,,2018,https://movie.douban.com/subject/27622447/
恐怖游轮 Triangle,8.5,990151,克里斯托弗·史密斯,克里斯托弗·史密斯,梅利莎·乔治/迈克尔·多曼/利亚姆·海姆斯沃斯/瑞秋·卡帕尼/亨利·尼克松,科幻/悬疑/惊悚/奇幻,,2009,https://movie.douban.com/subject/3011051/
牯岭街少年杀人事件 牯嶺街少年殺人事件,8.9,369390,杨德昌,杨德昌/赖铭堂/杨顺清/鸿鸿,张震/杨静怡/张国柱/王启赞/林鸿铭,剧情/犯罪,,1991,https://movie.douban.com/subject/1292329/
冰川时代 Ice Age,8.7,686201,卡洛斯·沙尔丹哈,迈克尔·伯格/迈克尔·J·威尔森/彼得·阿克曼,雷·罗马诺/约翰·雷吉扎莫/丹尼斯·利瑞/杰克·布莱克,喜剧/动画/冒险,,2002,https://movie.douban.com/subject/1291578/
魔女宅急便 魔女の宅急便,8.7,524907,宫崎骏,宫崎骏/角野荣子,高山南/佐久间玲/户田惠子/山口胜平/信泽三惠子,动画/奇幻/冒险,,1989,https://movie.douban.com/subject/1307811/
芙蓉镇,9.3,190000,谢晋,阿城/谢晋,刘晓庆/姜文/郑在石/张光北/徐松子,剧情/爱情,,1987,https://movie.douban.com/subject/1297880/
忠犬八公物语 ハチ公物語,9.2,218793,神山征二郎,新藤兼人,仲代达矢/八千草薰/柳叶敏郎/尾美利德/石野真子,剧情,,1987,https://movie.douban.com/subject/1959195/
岁月神偷 歲月神偷,8.7,612862,罗启锐,罗启锐,吴君如/任达华/钟绍图/李治廷/蔡颖恩,剧情/家庭,,2010,https://movie.douban.com/subject/3792799/
